item_name,text,type,answers,optional,values,side_by_side,btn_width,score:bfi_openness,score:bfi_conscientiousness,score:bfi_extraversion,score:bfi_agreeableness,score:bfi_neuroticism,reversed,
Instructions1,"<h2><span>Big Five Inventory</span></h2><br><br><h6><b>INSTRUCTIONS: </b>Here are a number of characteristics that may or may not apply to you. Please select a response option to indicate the extent to which you agree or disagree with each statement. The questionnaire is divided into 4 pages, once you more to another page you cannot return to the previous page - so please ensure you are happy with your answers before moving forward.<br><br><span>Page 1 of 4</span></h6>",instruct,,,,,,,,,,,,
bfi_1,1. I am talkative,likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,no,1|2|3|4|5,no,216px,,,1,,,no,
bfi_2,2. I tend to find fault with others,likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,no,1|2|3|4|5,no,216px,,,,r1,,yes,
bfi_3,3. I do a thorough job,likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,no,1|2|3|4|5,no,216px,,1,,,,no,
bfi_4,"4. I am depressed, blue",likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,no,1|2|3|4|5,no,216px,,,,,1,no,
bfi_5,"5. I am original, I come up with new ideas",likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,no,1|2|3|4|5,no,216px,1,,,,,no,
bfi_6,6. I am reserved,likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,no,1|2|3|4|5,no,216px,,,r1,,,yes,
bfi_7,7. I am helpful and unselfish with others,likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,no,1|2|3|4|5,no,216px,,,,1,,no,
bfi_8,8. I can be somewhat careless,likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,no,1|2|3|4|5,no,216px,,r1,,,,yes,
bfi_9,"9. I am relaxed, I handle stress well",likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,no,1|2|3|4|5,no,216px,,,,,r1,yes,
bfi_10,10. I am curious about many different things,likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,no,1|2|3|4|5,no,216px,1,,,,,no,
bfi_11,11. I am full of energy,likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,no,1|2|3|4|5,no,216px,,,1,,,no,
page_2,,page_break,,,,,,,,,,,,
Instructions2,"<h2><span>Big Five Inventory</span></h2><br><br><h6><b>INSTRUCTIONS: </b>Here are a number of characteristics that may or may not apply to you. Please select a response option to indicate the extent to which you agree or disagree with each statement. The questionnaire is divided into 4 pages, once you more to another page you cannot return to the previous page - so please ensure you are happy with your answers before moving forward.<br><br><span>Page 2 of 4</span></h6>",instruct,,,,,,,,,,,,
bfi_12,12. I start quarrels with others,likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,no,1|2|3|4|5,no,216px,,,,r1,,yes,
bfi_13,13. I am a reliable worker,likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,no,1|2|3|4|5,no,216px,,1,,,,no,
bfi_14,14. I can be tense,likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,no,1|2|3|4|5,no,216px,,,,,1,no,
bfi_15,"15. I am ingenious, a deep thinker",likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,no,1|2|3|4|5,no,216px,1,,,,,no,
bfi_16,16. I generate a lot of enthusiasm,likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,no,1|2|3|4|5,no,216px,,,1,,,no,
bfi_17,17. I have a forgiving nature,likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,no,1|2|3|4|5,no,216px,,,,1,,no,
bfi_18,18. I tend to be disorganised,likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,no,1|2|3|4|5,no,216px,,r1,,,,yes,
bfi_19,19. I worry a lot,likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,no,1|2|3|4|5,no,216px,,,,,1,no,
bfi_20,20. I have an active imagination,likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,no,1|2|3|4|5,no,216px,1,,,,,no,
bfi_21,21. I tend to be quiet,likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,no,1|2|3|4|5,no,216px,,,r1,,,yes,
bfi_22,22. I am generally trusting,likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,no,1|2|3|4|5,no,216px,,,,1,,no,
page_3,,page_break,,,,,,,,,,,,
