cue,probe,answer,long,short,practice,
A,X,p,Block 1,Short 1,Practice,
A,X,p,Block 1,Short 1,Practice,
A,X,p,Block 1,Short 1,Practice,
A,X,p,Block 1,Short 1,Practice,
A,H,l,Block 1,Short 1,Practice,
B,X,l,Block 1,Short 1,Practice,
C,X,l,Block 1,Short 1,Practice,
D,X,l,Block 1,Short 1,Practice,
E,X,l,Block 1,Short 1,Practice,
D,G,l,Block 1,Short 1,Practice,
A,X,p,Block 1,Short 1,,
A,X,p,Block 1,Short 1,,
A,X,p,Block 1,Short 1,,
A,X,p,Block 1,Short 1,,
A,X,p,Block 1,Short 1,,
A,X,p,Block 1,Short 1,,
A,X,p,Block 1,Short 1,,
A,X,p,Block 1,Short 1,,
A,X,p,Block 1,Short 1,,
A,X,p,Block 1,Short 1,,
A,X,p,Block 1,Short 1,,
A,X,p,Block 1,Short 1,,
A,X,p,Block 1,Short 1,,
A,X,p,Block 1,Short 1,,
A,E,l,Block 1,Short 1,,
A,F,l,Block 1,Short 1,,
A,G,l,Block 1,Short 1,,
A,X,p,Block 1,Short 1,,
G,X,l,Block 1,Short 1,,
H,X,l,Block 1,Short 1,,
I,X,l,Block 1,Short 1,,
J,X,l,Block 1,Short 1,,
L,X,l,Block 1,Short 1,,
M,X,l,Block 1,Short 1,,
N,X,l,Block 1,Short 1,,
O,X,l,Block 1,Short 1,,
P,X,l,Block 1,Short 1,,
Q,X,l,Block 1,Short 1,,
R,X,l,Block 1,Short 1,,
S,X,l,Block 1,Short 1,,
T,X,l,Block 1,Short 1,,
U,X,l,Block 1,Short 1,,
W,P,l,Block 1,Short 1,,
Z,H,l,Block 1,Short 1,,
B,I,l,Block 1,Short 1,,
C,J,l,Block 1,,,
A,X,p,Block 1,,,
A,X,p,Block 1,,,
V,X,l,Block 1,,,
L,X,l,Block 1,,,
A,E,l,Block 2,Short 2,,
E,G,l,Block 2,Short 2,,
E,H,l,Block 2,Short 2,,
P,I,l,Block 2,Short 2,,
M,J,l,Block 2,Short 2,,
A,L,l,Block 2,Short 2,,
A,M,l,Block 2,Short 2,,
A,S,l,Block 2,Short 2,,
U,P,l,Block 2,Short 2,,
A,X,p,Block 2,Short 2,,
A,X,p,Block 2,Short 2,,
A,X,p,Block 2,Short 2,,
A,X,p,Block 2,Short 2,,
A,X,p,Block 2,Short 2,,
A,X,p,Block 2,Short 2,,
A,X,p,Block 2,Short 2,,
A,X,p,Block 2,Short 2,,
A,X,p,Block 2,Short 2,,
A,X,p,Block 2,Short 2,,
A,X,p,Block 2,Short 2,,
A,X,p,Block 2,Short 2,,
A,X,p,Block 2,Short 2,,
A,X,p,Block 2,Short 2,,
A,X,p,Block 2,Short 2,,
A,X,p,Block 2,Short 2,,
A,X,p,Block 2,Short 2,,
A,X,p,Block 2,Short 2,,
M,X,l,Block 2,Short 2,,
E,X,l,Block 2,Short 2,,
T,X,l,Block 2,Short 2,,
G,X,l,Block 2,Short 2,,
H,X,l,Block 2,Short 2,,
J,X,l,Block 2,Short 2,,
W,X,l,Block 2,Short 2,,
Q,X,l,Block 2,Short 2,,
C,X,l,Block 2,Short 2,,
V,X,l,Block 2,Short 2,,
J,X,l,Block 2,Short 2,,
