cue,probe,answer,long,practice,
A,X,p,Block 1,Practice,
A,X,p,Block 1,Practice,
A,X,p,Block 1,Practice,
A,X,p,Block 1,Practice,
A,H,l,Block 1,Practice,
B,X,l,Block 1,Practice,
C,X,l,Block 1,Practice,
D,X,l,Block 1,Practice,
E,X,l,Block 1,Practice,
D,G,l,Block 1,Practice,
A,X,p,Block 1,,
A,X,p,Block 1,,
A,X,p,Block 1,,
A,X,p,Block 1,,
A,X,p,Block 1,,
A,X,p,Block 1,,
A,X,p,Block 1,,
A,X,p,Block 1,,
A,X,p,Block 1,,
A,X,p,Block 1,,
A,X,p,Block 1,,
A,X,p,Block 1,,
A,X,p,Block 1,,
A,X,p,Block 1,,
A,E,l,Block 1,,
A,F,l,Block 1,,
A,G,l,Block 1,,
A,C,l,Block 1,,
G,X,l,Block 1,,
H,X,l,Block 1,,
I,X,l,Block 1,,
J,X,l,Block 1,,
L,X,l,Block 1,,
M,X,l,Block 1,,
N,X,l,Block 1,,
O,X,l,Block 1,,
P,X,l,Block 1,,
Q,X,l,Block 1,,
R,X,l,Block 1,,
S,X,l,Block 1,,
T,X,l,Block 1,,
U,X,l,Block 1,,
W,P,l,Block 1,,
Z,H,l,Block 1,,
B,I,l,Block 1,,
A,E,l,Block 2,,
E,G,l,Block 2,,
E,H,l,Block 2,,
P,I,l,Block 2,,
M,J,l,Block 2,,
A,L,l,Block 2,,
A,M,l,Block 2,,
A,S,l,Block 2,,
U,P,l,Block 2,,
A,X,p,Block 2,,
A,X,p,Block 2,,
A,X,p,Block 2,,
A,X,p,Block 2,,
A,X,p,Block 2,,
A,X,p,Block 2,,
A,X,p,Block 2,,
A,X,p,Block 2,,
A,X,p,Block 2,,
A,X,p,Block 2,,
A,X,p,Block 2,,
A,X,p,Block 2,,
A,X,p,Block 2,,
A,X,p,Block 2,,
A,X,p,Block 2,,
A,X,p,Block 2,,
A,X,p,Block 2,,
A,X,p,Block 2,,
M,X,l,Block 2,,
E,X,l,Block 2,,
T,X,l,Block 2,,
G,X,l,Block 2,,
H,X,l,Block 2,,
J,X,l,Block 2,,
W,X,l,Block 2,,
Q,X,l,Block 2,,
C,X,l,Block 2,,
V,X,l,Block 2,,
J,X,l,Block 2,,
H,X,l,Block 2,,
S,X,l,Block 2,,
L,X,l,Block 2,,
P,X,l,Block 2,,
U,X,l,Block 2,,
M,X,l,Block 2,,
N,X,l,Block 2,,
A,B,l,Block 3,,
A,C,l,Block 3,,
D,C,l,Block 3,,
E,G,l,Block 3,,
H,R,l,Block 3,,
A,J,l,Block 3,,
A,M,l,Block 3,,
L,O,l,Block 3,,
A,S,l,Block 3,,
A,X,p,Block 3,,
A,X,p,Block 3,,
A,X,p,Block 3,,
A,X,p,Block 3,,
A,X,p,Block 3,,
A,X,p,Block 3,,
A,X,p,Block 3,,
A,X,p,Block 3,,
A,X,p,Block 3,,
A,X,p,Block 3,,
A,X,p,Block 3,,
A,X,p,Block 3,,
A,X,p,Block 3,,
A,X,p,Block 3,,
A,X,p,Block 3,,
A,X,p,Block 3,,
A,X,p,Block 3,,
A,X,p,Block 3,,
P,X,l,Block 3,,
M,X,l,Block 3,,
E,X,l,Block 3,,
T,X,l,Block 3,,
G,X,l,Block 3,,
H,X,l,Block 3,,
J,X,l,Block 3,,
W,X,l,Block 3,,
Q,X,l,Block 3,,
C,X,l,Block 3,,
V,X,l,Block 3,,
J,X,l,Block 3,,
H,X,l,Block 3,,
S,X,l,Block 3,,
L,X,l,Block 3,,
P,X,l,Block 3,,
U,X,l,Block 3,,
M,X,l,Block 3,,
A,B,l,Block 4,,
A,P,l,Block 4,,
P,B,l,Block 4,,
N,D,l,Block 4,,
C,D,l,Block 4,,
R,H,l,Block 4,,
A,M,l,Block 4,,
A,S,l,Block 4,,
Q,U,l,Block 4,,
A,X,P,Block 4,,
A,X,p,Block 4,,
A,X,p,Block 4,,
A,X,p,Block 4,,
A,X,p,Block 4,,
A,X,p,Block 4,,
A,X,p,Block 4,,
A,X,p,Block 4,,
A,X,p,Block 4,,
A,X,p,Block 4,,
A,X,p,Block 4,,
A,X,p,Block 4,,
A,X,p,Block 4,,
A,X,p,Block 4,,
A,X,p,Block 4,,
A,X,p,Block 4,,
A,X,p,Block 4,,
A,X,p,Block 4,,
P,X,l,Block 4,,
M,X,l,Block 4,,
E,X,l,Block 4,,
T,X,l,Block 4,,
G,X,l,Block 4,,
H,X,l,Block 4,,
J,X,l,Block 4,,
W,X,l,Block 4,,
Q,X,l,Block 4,,
C,X,l,Block 4,,
V,X,l,Block 4,,
J,X,l,Block 4,,
H,X,l,Block 4,,
S,X,l,Block 4,,
L,X,l,Block 4,,
P,X,l,Block 4,,
U,X,l,Block 4,,
M,X,l,Block 4,,
,,,,,
