item,phasetype,survey,max_time,text,shuffle_1,notes,cue_ms,isi_ms,probe_ms,response_ms,task_title,task_body_text,weight,
0,offline,,user,,off,,,,,,Data Collection Finished,"Thank you for your interest in our study but be are really sorry, we have now finished collecting data.<br>If you'd like to know more about the study please contact Chris Dobson (c.g.dobson@pgr.reading.ac.uk).<br><br> The study was reviewed by the University of Reading's School of Psychology & Clinical Language Sciences Research Ethics Committee and given favourable opinion for conduct (2024-014-PB).",,
0,intro_static,,user,,,no_mobile,,,,,,,0,
0,axcpt_infoconsent,,user,Analysing how AX-CPT Procedural Changes Alter Participants' Responses,,,,,,,,,0,
0,keyboard_bookend,,user,,,axcpt,,,,,Instructions,"<p>Thank you for taking part in the study. You will now complete your first AX continuous performance task. The task works by displaying two letters, one after the other, in the centre of the screen. The second letter will be replaced by three asterisks and the screen will go blank between the letters.<br><br><b>You are required to monitor for a specific pair of letters: A followed by X.</b><br><br>If you see <b>A</b> followed by <b>X</b> → press <span style=""color: blue""><b>P</b></span> on your keyboard.<br>If you see any other combination (e.g., B followed by X or A followed by P) → press <span style=""color: red""><b>L</b></span> on your keyboard. You can only respond while the second letter or the asterisks are displayed.<br><br><img id=""axcpt_keys_img"" src=""../../collector-experiments/User/Assets/axcpt/stimuli_example.jpg""></img><br><br>Please place you middle finger of your right hand over the letter <span style=""color: blue""><b>P</b></span> and the index finger of your right hand over the letter <span style=""color: red""><b>L</b></span> (as shown in the image below.)<br><br><img id=""axcpt_keys_img"" src=""../../collector-experiments/User/Assets/axcpt/key1.jpg""></img><br><br>To begin you'll complete 10 practice trials, that provide feedback as to whether you gave the correct response. After that, you'll undertake 180 experimental trials, that do not provide feedback, divided up into 4 blocks of 45. A break is provided between each block.<br><br>When you are ready to start, please position the index and middle finger of your right hand as shown and press the <b>space bar</b> with your thumb to begin the task.</p>",0,
2 to 11,axcpt,,user,,sp,give_feedback,500,1500,500,500,,,0,
0,keyboard_bookend,,user,,,axcpt,,,,,End of Practice Trials,"<p>That completes the 10 practice trials. You will now have 180 experimental trials that do not provide feedback, divided up into 4 blocks of 45 trials. Between each block you will be given a break. Once again, a letter will appear in the centre of the screen. It will then disappear and, after a short pause, a second letter will appear. The second letter will then be replaced by three asterisks. <br><br><b>You are required to monitor for a specific pair of letters: A followed by X.</b><br><br>If you see <b>A</b> followed by <b>X</b> → press <span style=""color: blue""><b>P</b></span> on your keyboard.<br>If you see any other combination (e.g., B followed by X or A followed by P) → press <span style=""color: red""><b>L</b></span> on your keyboard. You can only respond while the second letter or the asterisks are displayed.<br><br><img id=""axcpt_keys_img"" src=""../../collector-experiments/User/Assets/axcpt/stimuli_example.jpg""></img><br><br>Please place you middle finger of your right hand over the letter <span style=""color: blue""><b>P</b></span> and the index finger of your right hand over the letter <span style=""color: red""><b>L</b></span> (as shown in the image below.)<br><br><img id=""axcpt_keys_img"" src=""../../collector-experiments/User/Assets/axcpt/key1.jpg""></img><br><br>When you are ready to start your first block of experimental trials, please position the index and middle finger of your right hand as shown and press the <b>space bar</b> with your thumb to begin.</p>",0,
2 to 46,axcpt,,user,,sb1,,500,1500,500,500,,,0,
0,keyboard_bookend,,user,,,axcpt,,,,,End of Block 1,"<p>That completes the first block of 45 experimental trials. You may have a break should you wish.<br><br>The next block of 45 trials are the same as before, with a letter appearing in the centre of the screen. It will then disappear and, after a short pause, a second letter will appear. The second letter will then be replaced by three asterisks. <br><br><b>You are required to monitor for a specific pair of letters: A followed by X.</b><br><br>If you see <b>A</b> followed by <b>X</b> → press <span style=""color: blue""><b>P</b></span> on your keyboard.<br>If you see any other combination (e.g., B followed by X or A followed by P) → press <span style=""color: red""><b>L</b></span> on your keyboard. You can only respond while the second letter or the asterisks are displayed.<br><br><img id=""axcpt_keys_img"" src=""../../collector-experiments/User/Assets/axcpt/stimuli_example.jpg""></img><br><br>Please place you middle finger of your right hand over the letter <span style=""color: blue""><b>P</b></span> and the index finger of your right hand over the letter <span style=""color: red""><b>L</b></span> (as shown in the image below.)<br><br><img id=""axcpt_keys_img"" src=""../../collector-experiments/User/Assets/axcpt/key1.jpg""></img><br><br>When you are ready to start your first block of experimental trials, please position the index and middle finger of your right hand as shown and press the <b>space bar</b> with your thumb to begin.</p>",0,
52 to 96,axcpt,,user,,sb2,,500,1500,500,500,,,0,
0,keyboard_bookend,,user,,,axcpt,,,,,End of Block 2,"<p>That completes the second block of 45 experimental trials. You may have a break should you wish.<br><br>The next block of 45 trials are the same as before, with a letter appearing in the centre of the screen. It will then disappear and, after a short pause, a second letter will appear. The second letter will then be replaced by three asterisks. <br><br><b>You are required to monitor for a specific pair of letters: A followed by X.</b><br><br>If you see <b>A</b> followed by <b>X</b> → press <span style=""color: blue""><b>P</b></span> on your keyboard.<br>If you see any other combination (e.g., B followed by X or A followed by P) → press <span style=""color: red""><b>L</b></span> on your keyboard. You can only respond while the second letter or the asterisks are displayed.<br><br><img id=""axcpt_keys_img"" src=""../../collector-experiments/User/Assets/axcpt/stimuli_example.jpg""></img><br><br>Please place you middle finger of your right hand over the letter <span style=""color: blue""><b>P</b></span> and the index finger of your right hand over the letter <span style=""color: red""><b>L</b></span> (as shown in the image below.)<br><br><img id=""axcpt_keys_img"" src=""../../collector-experiments/User/Assets/axcpt/key1.jpg""></img><br><br>When you are ready to start your first block of experimental trials, please position the index and middle finger of your right hand as shown and press the <b>space bar</b> with your thumb to begin.</p>",0,
