item,phasetype,survey,max_time,text,notes,shuffle_1,task_title,task_body_text,weight,
0,offline,,user,,,off,STUDY TEMPORARILY OFFLINE,"We're really sorry but the study isn't available at the moment. The University are updating the database storage system that we use to store all the experimental data from this study. As a result, until this update is complete we are unable to save any additional data. We really do apologise for the fact you cannot complete the study right now. The update should only take a couple of hours, so please do try again later.",0,
0,intro_static,,user,Welcome,no_mobile,off,,,,
0,ws_zoom,,user,,,off,,,,
0,jans_infoconsent,,user,"Re-examining taboo, emotionally valenced, and emotionally neutral word norms",,off,,,,
0,task_bookend,,user,Start,,off,Word Ratings,"<p>In this study we are interested in how people perceive words. For the next task, you will be given a list of 120 words - one at a time - and your task is to rate each word according to the scales presented.<br><br>Please be as honest as possible in your judgments; <u>they are very important to us!</u> Work at a rapid pace and don't spend too much time on each word. Make your ratings based on your first reaction to the word.<br><br>The words are presented in four blocks of 30 words, and you will be given a break after each block.</p><br><p>When you are ready, please press <b>Start</b> to begin.</p>",,
2 to 31,jans_ratings,,user,,,Ratings,,,,
0,task_bookend,,user,Start Block 2,,off,Time For A Break,"<p>Thank you for rating the first 30 words, when you are ready please press <b>Start Block 2</b> to move onto the second block  of 30 words. Once again, please be as honest as possible in your judgments; <u>they are very important to us!</u> Work at a rapid pace and  don't spend too much time on each word. Make your ratings based on your  first reaction to the word.</p>",,
32 to 61,jans_ratings,,user,,,Ratings,,,,
0,task_bookend,,user,Start Block 3,,off,Time For A Break,"<p>Thank you for rating the second 30 words, when you are ready please press <b>Start Block 3</b> to move onto the third block  of 30 words. Once again, please be as honest as possible in your judgments; <u>they are very important to us!</u> Work at a rapid pace and  don't spend too much time on each word. Make your ratings based on your  first reaction to the word.</p>",,
62 to 91,jans_ratings,,user,,,Ratings,,,,
0,task_bookend,,user,Start Block 4,,off,Time For A Break,"<p>Thank you for rating the third 30 words, when you are ready please press <b>Start Block 4</b> to move onto the final block  of 30 words. Once again, please be as honest as possible in your judgments; <u>they are very important to us!</u> Work at a rapid pace and  don't spend too much time on each word. Make your ratings based on your  first reaction to the word.</p>",,
92 to 121,jans_ratings,,user,,,Ratings,,,,
0,task_bookend,,user,Start,,off,Individual Difference Measures,"<p>Thank you for completing the previous task. We are now going to ask you to complete three questionnaires. One relates to trait aggression, one to your personality, and one to trait anger. They may not be presented in that order. All answers you give are entirely anonymous and cannot be traced back to you, so please be honest in how you respond.</p><br><p>When you are ready, please press <b>Start</b> to begin.</p>",,
0,tde_survey,verbal_agressiveness.csv,user,,,Questionnaire,,,,
0,tde_survey,trait_anger.csv,user,,,Questionnaire,,,,
0,tde_survey,big_five_inventory.csv,user,,,Questionnaire,,,,
0,task_bookend,,user,Start,,off,Religiosity & Control Measures,"<p>Thank you for completing the three questionnaires. We now just need you to provide two further ratings before we collect some basic demographic information. These ratings, together with your questionnaire responses and demographic details will allow us to not only understand who has taken part in our study, but also how those differences between people affects how they perceive and use swearwords.</p>",,
0,jans_conrelig,,user,,,off,Religiosity & Control,Please read the scales carefully before you make a selection and please respond as accurately as possible.,,
0,task_bookend,,user,Start,,off,Demographics,"<p>Thank you for making the previous two ratings. You have now completed all the experimental tasks. The last thing we require is to just collect some basic demographic information about you so we can better understand who has taken part in our study.</p><br><p>When you are ready, please press <b>Start</b> to begin.</p>",,
0,tde_survey,jans_demo.csv,user,,"Phase.set_timer(function(){ 
             $("".sona_item"").attr('maxlength','8');          },250);",off,,,,
0,upload_data,,12,,Uploading REDCap Markers,off,,,,
0,jans_debrief,,user,"Re-examining taboo, emotionally valenced, and emotionally neutral word norms",Amazon,off,,,,
0,save_data,,user,Save your data,,off,💾 Please Save Your Data 💾,"Thank you for completing the study, we really do appreciate you taking the time to do so. Before you close the study, can we just ask you to save your data. All you need to do is click the button below. This will ensure that, as this study was run online, if there were any issues with your data uploading to the server we can use the saved file to manually add your data to the final dataset, ensuring your time wasn't  wasted and/or the results of our study impacted (and you get to see what a raw data file actually looks like!). If you haven't heard from us within one month, feel free to delete the data from your computer as it means everything uploaded correctly.<br/><br><span style=""opacity: 0.75;font-size: 15px;font-style: italic;"">Note: If the button doesn't work for any reason, you can save your data by pressing Ctrl+S (Cmd+S on a Mac)</span>.",,
