item,phasetype,survey,max_time,text,notes,shuffle_1,task_title,task_body_text,weight,
0,uor_cover,,user,Welcome,no_mobile,off,,,,
0,ws_zoom,,user,,,off,,,,
0,jans_infoconsent,,user,Janschewitz Replication - Taboo Only,,off,,,,
0,task_bookend,,user,Start,,off,Word Ratings,"<p>In this study we are interested in how people perceive words. For the next task, you will be given a list of 120 words - one at a time - and your task is to rate each word according to the scales presented.<br><br>Please be as honest as possible in your judgments; <u>they are very important to us!</u> Work at a rapid pace and don't spend too much time on each word. Make your ratings based on your first reaction to the word.<br><br>The words are presented in four blocks of 30 words, and you will be given a break after each block.</p><br><p>When you are ready, please press <b>Start</b> to begin.</p>",,
2 to 31,jans_ratings,,user,,,Random,,,0,
0,task_bookend,,user,Start Block 2,,off,Time For A Break,"<p>Thank you for rating the first 30 words, when you are ready please press <b>Start Block 2</b> to move onto the second block  of 30 words. Once again, please be as honest as possible in your judgments; <u>they are very important to us!</u> Work at a rapid pace and  don't spend too much time on each word. Make your ratings based on your  first reaction to the word.</p>",,
32 to 61,jans_ratings,,user,,,Random,,,0,
0,task_bookend,,user,Start Block 3,,off,Time For A Break,"<p>Thank you for rating the second 30 words, when you are ready please press <b>Start Block 3</b> to move onto the third block  of 30 words. Once again, please be as honest as possible in your judgments; <u>they are very important to us!</u> Work at a rapid pace and  don't spend too much time on each word. Make your ratings based on your  first reaction to the word.</p>",,
62 to 91,jans_ratings,,user,,,Random,,,0,
0,task_bookend,,user,Start Block 4,,off,Time For A Break,"<p>Thank you for rating the third 30 words, when you are ready please press <b>Start Block 4</b> to move onto the final block  of 30 words. Once again, please be as honest as possible in your judgments; <u>they are very important to us!</u> Work at a rapid pace and  don't spend too much time on each word. Make your ratings based on your  first reaction to the word.</p>",,
92 to 121,jans_ratings,,user,,,Random,,,0,
0,task_bookend,,user,Start,,off,Individual Diffierences,"<p>Thank you for rating all 120 words. We are now going to ask you to complete two questionnaires. One relates to trait aggression and the other to trait anger. All answers you give are entirely anonymous and cannot be traced back to you, so please be honest in how you respond.</p><br><p>When you are ready, please press <b>Start</b> to begin.</p>",,
0,tde_survey,trait_anxiety.csv,user,,,off,,,,
0,tde_survey,trait_anger.csv,user,,,off,,,,
0,task_bookend,,user,Start,,off,Demographics,"<p>Thank you for completing the 2 individual difference questionnaires. You have now completed all the experimental tasks. The last thing we require is to just collect some basic demographic information about you so we can better understand who has  taken part in our study.</p><br><p>When you are ready, please press <b>Start</b> to begin.</p>",,
0,tde_survey,jans_demo.csv,user,,"Phase.set_timer(function(){ 
             $("".sona_item"").attr('maxlength','8');          },250);",off,,,,
0,upload_data,,6,,Uploading REDCap Markers,off,,,,
0,jans_debrief,,user,Janschewitz Replication - Taboo Only,,off,,,,
