item,phasetype,survey,max_time,text,notes,shuffle_1,shuffle_2,task_title,task_body_text,weight,
0,offline,,user,,,off,off,STUDY TEMPORARILY OFFLINE,We're really sorry but the study isn't available at the moment. The program used to run this study has had an update which has broken the data storage within this study. We are very sorry that you cannot complete the study at this time.,0,
0,intro_static,,user,Welcome,no_mobile,off,off,,,,
0,ws_zoom,,user,,,off,off,,,,
0,jiewei_infoconsent,,user,Slow or quick? How do we experience time in the presence of swear words?,,off,off,,,,
0,task_bookend,,user,Start,,off,off,Demographics,"<p>Before you begin, we need you to complete a brief demographics questionnaire. we require is to just collect some basic demographic information about you so we can better understand who has taken part in our study.</p><br><p>When you are ready, please press <b>Start</b> to begin.</p>",,
0,tde_survey,jiewei_demo.csv,user,,,off,off,,,,
0,task_bookend,,user,Start,,off,off,Time Peception,"<p>In this study we are interested in how people's perception of time passing changes within a situation. For the next task, you will see a word written in the center of the screen. At the same time you will hear a word repeated through your speakers. You are simply required to press the <b>spacebar</b> after 3 seconds has elapsed. When you press space, the trial will end and the next begin. Please try to be as accurate as you can.<br><br>You will start with 10 practice trials. These will provide feedback regarding the accuracy of your judgement. After that you will have 120 experimental trials. These will be presented in 4 blocks of 30 trials.</p><br><p>When you are ready, please press <b>Start</b> to begin.</p>",,
122 to 131,jiewei_tp_task,,user,feedback,,Practice,off,,,,
0,task_bookend,,user,Start,,off,off,End of practice trials,"<p>Thank you for completing the practice trials. You are about to start the experimental trials. There are 120 trials broken up into 4 blocks. You may have a break between blocks. Once again, you are simply required to press the <b>spacebar</b> after 3 seconds has elapsed. When you press space, the trial will end and the next begin. Please try to be as accurate as you can.<br><br>The experimental trials do not provide feedback regarding the accuracy of your response.</p><br><p>When you are ready, please press <b>Start</b> to begin.</p>",,
2 to 31,jiewei_tp_task,,user,,,Experiment,Block 1,,,,
0,task_bookend,,user,Start Block 2,,off,off,Time For A Break,"<p>Thank you for completing the first block, you may have a break if you wish. When you are ready please press <b>Start Block 2</b> to move onto the second block of 30 trials.</p>",,
32 to 61,jiewei_tp_task,,user,,,Experiment,Block 2,,,,
0,task_bookend,,user,Start Block 3,,off,off,Time For A Break,"<p>Thank you for completing the second block, you may have a break if you wish. When you are ready please press <b>Start Block 3</b> to move onto the third block of 30 trials.</p>",,
62 to 91,jiewei_tp_task,,user,,,Experiment,Block 3,,,,
0,task_bookend,,user,Start Block 4,,off,off,Time For A Break,"<p>Thank you for completing the third block, you may have a break if you wish. When you are ready please press <b>Start Block 4</b> to move onto the final, fourth block of 30 trials.</p>",,
92 to 121,jiewei_tp_task,,user,,,Experiment,Block 4,,,,
0,task_bookend,,user,Proceed,,off,off,End of Experimental Trials,"<p>Thank you for completing the fourth block, you have now completed all experimental trials. When you are ready please press <b>Proceed</b> to move to the next, final, task.</p>",,
0,data_quality,,user,Proceed,,off,off,Data Quality Check,<p>Please check the box below if you feel the study did not run as it should have or you encountered an issue while completing the study. An example of an issue might be if multiple words appeared on screen at the time or audio seemed to overlap each other. <br><br><b>Please note: </b> a number of the trials in the main task did not play any audio while presenting a word on screen.</p>,,
0,upload_data,,12,,Uploading REDCap Markers,off,off,,,,
0,jiewei_debrief,,user,Slow or quick? How do we experience time in the presence of swear words?,,off,off,,,,
