audio,word,on,off,
silence,ship,0,0,
silence,dick,0,0,
duck,...,298,200,
witch,...,213,297,
dick,ship,292,45,
bitch,ship,323,82,
silence,...,0,0,
fuck,dick,300,100,
duck,ship,298,200,
bitch,...,323,82,
witch,dick,213,297,
silence,bitch,0,0,
ship,shit,331,180,
witch,stick,213,297,
dick,...,292,45,
fuck,dick,300,100,
duck,duck,298,200,
shit,...,337,28,
shit,stick,337,28,
duck,...,298,200,
silence,duck,0,0,
silence,...,0,0,
fuck,bitch,300,100,
silence,...,0,0,
stick,...,223,240,
silence,shit,0,0,
shit,dick,337,28,
silence,...,0,0,
bitch,shit,323,82,
bitch,duck,323,82,
shit,witch,337,28,
bitch,shit,323,82,
dick,shit,292,45,
ship,ship,331,180,
witch,witch,213,297,
dick,fuck,292,45,
dick,fuck,292,45,
shit,bitch,337,28,
stick,dick,223,240,
fuck,...,300,100,
silence,...,0,0,
silence,...,0,0,
ship,fuck,331,180,
duck,ship,298,200,
shit,bitch,337,28,
stick,...,223,240,
duck,shit,298,200,
silence,bitch,0,0,
stick,...,223,240,
stick,stick,223,240,
fuck,...,300,100,
dick,duck,292,45,
shit,stick,337,28,
fuck,...,300,100,
dick,shit,292,45,
silence,witch,0,0,
fuck,witch,300,100,
fuck,bitch,300,100,
duck,shit,298,200,
ship,...,331,180,
fuck,...,300,100,
silence,fuck,0,0,
bitch,fuck,323,82,
ship,...,331,180,
dick,...,292,45,
ship,...,331,180,
duck,...,298,200,
silence,ship,0,0,
witch,...,213,297,
bitch,...,323,82,
shit,dick,337,28,
witch,witch,213,297,
shit,...,337,28,
stick,witch,223,240,
bitch,duck,323,82,
witch,bitch,213,297,
ship,ship,331,180,
witch,bitch,213,297,
stick,dick,223,240,
bitch,...,323,82,
shit,...,337,28,
stick,witch,223,240,
fuck,stick,300,100,
stick,...,223,240,
witch,stick,213,297,
silence,fuck,0,0,
silence,witch,0,0,
duck,duck,298,200,
silence,stick,0,0,
ship,shit,331,180,
stick,bitch,223,240,
ship,fuck,331,180,
dick,ship,292,45,
dick,...,292,45,
ship,...,331,180,
dick,duck,292,45,
stick,stick,223,240,
fuck,witch,300,100,
stick,bitch,223,240,
silence,...,0,0,
silence,...,0,0,
ship,duck,331,180,
ship,duck,331,180,
bitch,...,323,82,
silence,dick,0,0,
silence,shit,0,0,
duck,fuck,298,200,
silence,stick,0,0,
shit,...,337,28,
duck,...,298,200,
bitch,ship,323,82,
witch,...,213,297,
silence,duck,0,0,
duck,fuck,298,200,
fuck,stick,300,100,
bitch,fuck,323,82,
dick,...,292,45,
witch,dick,213,297,
shit,witch,337,28,
witch,...,213,297,
testicles,...,724,106,
colour,...,377,86,
breeze,...,417,74,
sunrise,knickers,903,129,
colour,orgasm,377,86,
breeze,colour,417,74,
knickers,beeze,600,115,
orgasm,sunrise,615,0,
colour,testicles,377,86,
silence,horny,0,0,
,,,,
