word,rhyme,encode,recall,
child,stopper,0,1,
rock,stock,1,1,
TIRE,leap,0,1,
earl,pearl,1,1,
TRIBE,start,0,1,
POOL,school,1,1,
week,peak,1,1,
DANCE,shove,0,1,
FIELD,trunk,0,1,
BOAT,rote,1,1,
pail,whale,1,1,
lane,each,0,1,
GRAM,tram,1,1,
WOOL,pull,1,1,
floor,crazy,0,1,
GLASS,liner,0,1,
clip,ship,1,1,
nurse,lush,0,1,
LARK,teak,0,1,
state,tense,0,1,
RICE,wife,0,1,
SOAP,claim,0,1,
juice,loose,1,1,
POND,wand,1,1,
bear,hair,1,1,
lamp,camp,1,1,
CHERRY,very,1,1,
jade,sour,0,1,
SLEET,funny,0,1,
trout,bout,1,1,
monk,,,0,
daisy,,,0,
miner,,,0,
cart,,,0,
clover,,,0,
mast,,,0,
chapel,,,0,
sonnet,,,0,
witch,,,0,
roach,,,0,
twig,,,0,
drill,,,0,
moan,,,0,
claw,,,0,
speech,,,0,
brush,,,0,
cheek,,,0,
flame,,,0,
flour,,,0,
glove,,,0,
,,,,
