item,phasetype,survey,max_time,notes,text,shuffle_1,task_title,task_body_text,weight,
0,offline,,user,,,,Data Collection Finished,"Thank you for your interest in our study but be are really sorry, we have now finished collecting data.<br>If you'd like to know more about the study please contact Prof. Philip Beaman (c.p.beaman@reading.ac.uk).<br><br> The study was reviewed by the University of Reading's School of Psychology & Clinical Language Sciences Research Ethics Committee and given favourable opinion for conduct (2023-118-PB).",,
0,uor_cover,,user,no_mobile,Welcome,,,,0,
0,ws_zoom,,user,,,,,,0,
0,ws_infoconsent,,user,,What factors affect the identification of swear words?,,,,0,
0,task_bookend,,user,,Start,,Word Search,"<p><b>Welcome to the first of two word search tasks.</b><br><br>On the next screen you will see a grid of letters. Within that grid, there are <b>15 hidden words</b>. Words can go <b>left-to-right</b> or <b>top-to-bottom</b> and may also share letters with other words. When you find a word, use your cursor to click and drag across the corresponding letters (a yellow block-line will appear where you drag). If you correctly identify a hidden word, the block-line will turn green and remain in place. If you identify an incorrect word, the block-line will turn red and disappear after 1 second.<br><br>You have <b>4 minutes</b> to find as many words as you can. A sliding timer bar below the grid indicates how long you have left. If you find all the words before the time is up, the task will automatically end.<br><br> When you are ready, please press <b>Start</b> to begin. Good luck!<br><br><em>Please note: none of the 15 words are less than 4 letters long. The letter grid is dynamically created when the task starts, this may result in some additional words, outside the required 15 being generated too.</em></p>",0,
0,wordsearch_adb,,240,List,,WS,,,0,
0,task_bookend,,user,,Start,,Tetris,"<p><b>Thank you for completing the first word search task - it's time for a break!</b><br><br>On the next screen you get to play tetris. Different shaped blocks will drop from the top of the on screen ""playing area"" and, using the arrow keys on your keyboard, the aim is to stack the blocks to form a horizontal row, without gaps, across the lowest available part of the playing area. The arrow keys allow you to move the blocks left and right, rotate them, and drop them (make them fall faster if you’re sure of your positioning).<br><br>Each full horizontal row you create scores you 100 points and causes the row to disappear. However, incomplete rows stay in place, raising the lowest part of the of the playing area.<br><br>You have 4 minutes to score as many points as possible, once again a countdown timer is displayed beneath. Should the blocks stack up so that they reach the top of the playing area your game will end - but that's ok, if you still have time left you can simply start a new game and try again! Good luck!<br><br> When you are ready, please press <b>Start</b> to begin. </p>",0,
0,tetris,,240,seconds,,,,,0,
0,task_bookend,,user,,Start,,Word Search 2,"<p><b>We hope you enjoyed playing Tetris</b><br><br>On the next screen you will see another grid of letters. Once again, within that grid, there are <b>15 <u>new</u> hidden words</b> (they are not the same as before). Words can go <b>left-to-right</b> or <b>top-to-bottom</b> and may also share letters with other words. When you find a word, use your cursor to click and drag across the corresponding letters (a yellow block-line will appear where you drag). If you correctly identify a hidden word, the block-line will turn green and remain in place. If you identify an incorrect word, the block-line will turn red and disappear after 1 second.<br><br>You have <b>4 minutes</b> to find as many words as you can. A sliding timer bar below the grid indicates how long you have left. If you find all the words before the time is up, the task will automatically end.<br><br> When you are ready, please press <b>Start</b> begin. Good luck!<br><br><em>Please note: none of the 15 words are less than 4 letters long. The letter grid is dynamically created when the task starts, this may result in some additional words, outside the required 15 being generated too.</em></p>",0,
0,wordsearch_adb,,240,NoList,,WS,,Yes,0,
0,ws_strategy,,user,,Submit,,Word Search Strategies,,0,
0,task_bookend,,user,,Start,,Demographics,"<p>Thank you for outlining any strategies you used. You have now completed all the experimental tasks. The last thing we need to do is collect some basic demographic information from you so we can better understand who has taken part in our study.</p><br><p>When you are ready, please press <b>Start</b> to begin.</p>",0,
0,tde_survey,adbdemo.csv,user,,"Phase.set_timer(function(){ 
    $("".sona_item"").attr('maxlength','8');
  },250);",,,,0,
0,upload_data,,6,,Uploading REDCap Markers,,,,0,
0,ws_debrief,,user,,What factors affect the identification of swear words?,,,,0,
0,save_data,,user,,💾 Please Save Your Data 💾,,Save Your Data,"Thank you for completing the study. There has been an intermittent bug where the data uploaded to the server doesn't correctly save.<br/><br/>As a result, please can you click the  button below and save the .csv file to your  computer. Not only do you get to see what your experimental data looks like, but it also ensure that, should there have been any issue with your data being saved, we can manually include it instead, ensuring your time wasn't  wasted and/or my dissertation  results impacted by an issue outside my control.<br/><br>If the button doesn't work for any reason, you  can save your data by pressing Ctrl+S (Cmd+S on a Mac). <br/><br/>Finally, we will be making the draw for the Amazon voucher later in the summer once data collection has been completed and will notify the winner by email once the draw is made.<br><br><b>Once you've saved your data, may close your browser to end the study.</b>",0,
0,sona,,user,,https://rdg-psychology.sona-systems.com/webstudy_credit.aspx?experiment_id=2796&credit_token=a3332601a42a48c082c5942820f2998d&survey_code=,,Save your data,"Thank you for completing the study. There has been an intermittent bug where the data uploaded to the server doesn't correctly save.<br/><br/>As a result, please can you click the  button below and save the .csv file to your  computer. Not only do you get to see what your experimental data looks like, but it also ensure that, should there have been any issue with your data being saved, we can manually include it instead, ensuring your time wasn't  wasted and/or my dissertation  results impacted by an issue outside my control.<br/><br><button class=""btn btn-primary"" id=""Save"">💾 Please Save Your Data 💾</button><br/><br>If the button doesn't work for any reason, you  can save your data by pressing Ctrl+S (Cmd+S on a Mac). <br/><br/>Finally, if you received a pop-up message above not being stored correctly, please email <a href=""mailto:a.d.bird@student.reading.ac.uk"">a.d.bird@student.reading.ac.uk</a> to let me know you've completed the study so I can award you your credit. If you didn't receive any message, click the button below to return to SONA and automatically receive your credit.",0,
