item,phasetype,survey,max_time,notes,text,shuffle_1,shuffle_2,task_title,task_body_text,weight,
0,uor_cover,,user,no_mobile,Welcome,,,,,,
0,msc_ppt_setup,,user,,,,,,,,
0,msc_info_consent,,user,,Investigating the impact of online disinhibition on the behavioural effects of swearing,,,,,,
0,task_bookend,,user,{BART INS},Start,,Non-Taboo,Balloon Inflation Task,"<p>During the next task, you will be presented with <b>10 balloons</b>, one at a time, as shown below. For each balloon you must repeatedly click on the button labelled 'Inflate Balloon' to increase its size, gaining 5 points for each click with which the balloon doesn't burst to score as many points as possible. <br><br>At any point, you can stop pumping up the balloon and click on 'Collect Points'. This will move you on the next balloon and will bank the points you scored from the previous balloon (under 'Total Points Earned'). It is your choice to determine how many clicks to make before banking your points, but remember  each balloon will burst at some point. This point varies across all balloons, ranging from the first click to the sixtieth (i.e., enough to fill its entire box). <br><br><img src=""../../collector-experiments/User/Assets/MSc/bart/balloon-analog-risk-task.jpg"" id=""bart_img""/><br/><br/> <b>If the balloon explodes before you click on 'Collect Points', then all points for that balloon are lost.</b> Burst balloons do not affect the points accumulated overall and the speed at which you pump does not affect the likelihood of the balloon bursting.</p>
<style>#bart_img { border: 1px solid #808080!important; margin: 0 auto;}</style>",,
0,task_bookend,,user,{VOCAL INS},Continue,,Non-Taboo,Vocalisation Task,"<p>However, before you undertake the 'Balloon Inflation' Task, you are required to complete a vocalisation task by repeating the following word out loud for 20 seconds:<br><h4><b>'Flat'</b></h4><br>whilst making eye-contact with an on-screen image.</p><p>When you are ready to speak, please click 'Start' below. This will move you to another page which displays the image and a a 20 second countdown timer. Please repeat 'Flat', at your <em>normal speaking rate and volume</em> until the countdown ends.</p>",,
0,msc_vocalisation,,21,{VOCAL},eyes,,Non-Taboo,FLAT,"<p>Please remember to speak at your normal rate, volume, and rhythm while making eye-contact with the eyes below</p>",,
0,bart,,user,{BART},,,Non-Taboo,,,,
0,task_bookend,,user,{LDT},,,Non-Taboo,Lexical Decision Task,"<p>Thank you for completing the BART task.  On the next page you will initially see a cross in the centre of the screen that will then be replaced with a word.<br>Once the word appears, you have <b>2 seconds</b> to decide whether the word <b>rhymes with the word you repeated out loud for 20 seconds before the previous balloon inflation task</b> and press a corresponding key. <br><br><b>&bull; If the
  word <span  style=""color:blue;""><u><em>rhymes</em></u> you should press P</b></span><br><b>&bull; If the word <span style=""color:red;""><u><em>does not   rhyme</em></u> press Q</b></span><br><br>Please position your index fingers over the required P and Q keys, as shown below before starting. <br><br>Initially, you will have  <b>10 practice trials</b> which will provide you with feedback as to whether you response was correct or not. <br><br>When you are ready and positioned your fingers as shown, press the <b>Spacebar</b> with your thumb to start the task.</p><br><br><img  src=""../../collector-experiments/User/Assets/Task_Stimuli/response_icons/pq_keys/ldt_keyboard2.jpg"" id=""ldt_img""/>    <script>         $(document).on('keydown',  function(event){          if(event.which == 32) {           Phase.submit()          } // closes if (event.which)         }) // Closes function(event)        </script>        <style>        #ldt_img {         display: block;         margin: auto;        }        #proceed_button {        display:none!important;        }        </style>",,
82 to 91,ldt_with_practice,,user,{LDT},,Shuffle1,Non-Taboo,,,,
0,task_bookend,,user,{LDT},,,Non-Taboo,End Of Practice Trials,"<p>That completes the practice trials. You will now complete the experimental trials. Once again, all you have to do is decide whether the word displayed in the centre of the screen  <b><u>rhymes</u> with the word you repeated out loud for 20 seconds before the previous balloon inflation task.</b> <br><br> <b>&bull; If the word <span   style=""color:blue;""><em><u>rhymes</u></em> press P</span><br><br>&bull; If the word <span style=""color:red;""><u><em>does not rhyme</em></u> press Q</b></span><br><br>Please position your index fingers over the required P and Q keys, as shown below before starting.<br><b>Please note: </b>The following experimental trials <span style=""text-decoration:   underline;""><em>do not</em></span> provide you with   feedback as to whether your response was correct or not. <br><br>When you are ready and positioned your fingers as shown, press the <b>Spacebar</b> with your thumb to start the  task.</p><img  src=""../../collector-experiments/User/Assets/Task_Stimuli/response_icons/pq_keys/ldt_keyboard3.jpg"" id=""ldt_img""/>
<script>$(document).on('keydown',  function(event){ if(event.which == 32) { Phase.submit(); } }); </script><style> #ldt_img { display: block; margin: 0 auto;} #proceed_button { display: none!important; }</style>",,
