item,phasetype,survey,max_time,notes,text,shuffle_1,shuffle_2,task_title,task_body_text,weight,
0,uor_cover,,user,no_mobile,Welcome,,,,,,
0,msc_ppt_setup,,user,,,,,,,,
0,msc_info_consent,,user,,Investigating the impact of online disinhibition on the behavioural effects of swearing,,,,,,
0,task_bookend,,user,{BART},Start,,Taboo,Balloon Inflation Task,"<p>During the next task, you will be presented with
  <b>10 balloons</b>, one at a time, as shown below. For each
  balloon you must repeatedly click on the button labelled 'Inflate Balloon' to
  increase its size, gaining 5 points for each click with which the balloon
  doesn't burst to score as many points as possible. <br><br>At any
  point, you can stop pumping up the balloon and click on 'Collect Points'.
  This will move you on the next balloon and will bank the points you scored
  from the previous balloon (under 'Total Points Earned'). It is your choice to
  determine how many clicks to make before banking your points, but remember
  each balloon will burst at some point. This point varies across all balloons,
  ranging from the first click to the sixtieth (i.e., enough to fill its entire
  box). <br><br><img
  src=""../../collector-experiments/User/Assets/MSc/bart/balloon-analog-risk-task.jpg""
  id=""bart_img""/>
    
    <br/><br/> <b>If the balloon explodes before you click on
  'Collect Points', then all points for that balloon are lost.</b> Burst
  balloons do not affect the points accumulated overall and the speed at which
  you pump does not affect the likelihood of the balloon
  bursting.</p>
    
    
    
    <style>
    
    #bart_img {
    
     border: 1px solid #808080;
    
     display: block;
    
     margin: auto;
    
    }
    
    </style>",,
0,msc_vocalisation_instructions,,user,{BART},FLAT,,Taboo,,,,
0,task_bookend,,user,{BART},,,Taboo,FLAT,"<style>#proceed_button{display:none;}</style><b>Please wait for the researcher to ask you to speak</b><br>The word to repeat is FLAT<script>$(document).on('keydown',  function(event){if(event.which == 70) {Phase.submit()}</script>",,
0,bart,,user,{BART},,,Taboo,,,,
0,task_bookend,,user,{BART},Continue,,Taboo,Balloon Inflation Task Complete,"<p>Thank you for completing the previous task. Your
  response has been correctly saved. When you are ready to continue, please
  click below.</p>",,
0,task_bookend,,user,{LDT},,,Taboo,Lexical Decision Task,"<p>On the next page you will initially see a cross in
  the centre of the screen that will then be replaced with a
  word.<br>Once the word appears, you have <b>2 seconds</b>
  to decide whether the word <b>rhymes with the word you repeated out
  loud for 20 seconds before the previous balloon inflation task</b> and
  press a corresponding key. <br><br><b>&bull; If the
  word <span
  style=""color:blue;""><u><em>rhymes</em></u>
  you should press
  P</b></span><br><br><b>&bull; If the word
  <span style=""color:red;""><u><em>does not
  rhyme</em></u> press Q</b></span><br>
  <br>Please position your index fingers over the required P and Q keys,
  as shown below before starting. <br><br>Initially, you will have
  <b>10 practice trials</b> which will provide you with feedback as
  to whether you response was correct or not. <br><br>When you are
  ready and positioned your fingers as shown, press the
  <b>Spacebar</b> with your thumb to start the
  task.</p><br><br><img
  src=""../../collector-experiments/User/Assets/Task_Stimuli/response_icons/pq_keys/ldt_keyboard2.jpg""
  id=""ldt_img""/>
    
    <script>
    
     $(document).on('keydown',
  function(event){
    
      if(event.which == 32) {
    
       Phase.submit()
    
      } // closes if (event.which)
    
     }) // Closes function(event)
    
    </script>
    
    <style>
    
    #ldt_img {
    
     display: block;
    
     margin: auto;
    
    }
    
    #proceed_button {
    
    display:none!important;
    
    }
    
    </style>",,
92 to 101,ldt_with_practice,,user,{LDT},,,Taboo,,,,
