cue,answer,
that,p,
sat,p,
fat,p,
cat,p,
rat,p,
hat,p,
chat,p,
bat,p,
spat,p,
splat,p,
struck,q,
truck,q,
luck,q,
duck,q,
suck,q,
tuck,q,
pluck,q,
muck,q,
stuck,q,
buck,q,
that,p,
sat,p,
fat,p,
cat,p,
rat,p,
hat,p,
chat,p,
bat,p,
spat,p,
splat,p,
struck,q,
truck,q,
luck,q,
duck,q,
suck,q,
tuck,q,
pluck,q,
muck,q,
stuck,q,
buck,q,
that,q,
sat,q,
fat,q,
cat,q,
rat,q,
hat,q,
chat,q,
bat,q,
spat,q,
splat,q,
struck,p,
truck,p,
luck,p,
duck,p,
suck,p,
tuck,p,
pluck,p,
muck,p,
stuck,p,
buck,p,
that,q,
sat,q,
fat,q,
cat,q,
rat,q,
hat,q,
chat,q,
bat,q,
spat,q,
splat,q,
struck,p,
truck,p,
luck,p,
duck,p,
suck,p,
tuck,p,
pluck,p,
muck,p,
stuck,p,
buck,p,
Mat,p,
Vat,p,
Plat,p,
Gnat,p,
Drat,p,
Chuck,q,
Snuck,q,
Cluck,q,
Ruck,q,
Yuck,q,
Mat,q,
Vat,q,
Plat,q,
Gnat,q,
Drat,q,
Chuck,p,
Snuck,p,
Cluck,p,
Ruck,p,
Yuck,p,
,,
