ldt_cue,ldt_answer,ldr_category,
bat,p,nt,
cat,p,nt,
chat,p,nt,
fat,p,nt,
hat,p,nt,
rat,p,nt,
sat,p,nt,
spat,p,nt,
splat,p,nt,
that,p,nt,
vat,p,nt,
matt,p,nt,
plait,p,nt,
brat,p,nt,
gnat,p,nt,
struck,q,nt,
ruck,q,nt,
muck,q,nt,
truck,q,nt,
pluck,q,nt,
wheat,q,nt,
cheat,q,nt,
squat,q,nt,
float,q,nt,
treat,q,nt,
flap,q,nt,
flirt,q,nt,
floss,q,nt,
flame,q,nt,
flag,q,nt,
tongue,q,nt,
bread,q,nt,
each,q,nt,
crown,q,nt,
snake,q,nt,
tree,q,nt,
love,q,nt,
fear,q,nt,
deal,q,nt,
print,q,nt,
amok,p,t,
buck,p,t,
chuck,p,t,
cluck,p,t,
duck,p,t,
huck,p,t,
luck,p,t,
muck,p,t,
pluck,p,t,
ruck,p,t,
struck,p,t,
stuck,p,t,
suck,p,t,
truck,p,t,
tuck,p,t,
cat,q,t,
mat,q,t,
sat,q,t,
splat,q,t,
hat,q,t,
deck,q,t,
break,q,t,
stock,q,t,
jack,q,t,
back,q,t,
adult,q,t,
much,q,t,
church,q,t,
brush,q,t,
clunk,q,t,
tongue,q,t,
bread,q,t,
each,q,t,
crown,q,t,
snake,q,t,
tree,q,t,
love,q,t,
fear,q,t,
deal,q,t,
print,q,t,
mat,p,nt,
gnat,p,nt,
chat,p,nt,
vat,p,nt,
drat,p,nt,
tight,q,nt,
blind,q,nt,
stress,q,nt,
tame,q,nt,
play,q,nt,
snuck,p,t,
ruck,p,t,
chuck,p,t,
cluck,p,t,
yuck,p,t,
born,q,t,
drat,q,t,
late,q,t,
good,q,t,
square,q,t,
,,,
