word,rhyme,encode,recall,level_process,
TWIG,a type of <br><b>fish</b>?,0,1,deep,
GRIN,a type of <br><b>measurement</b>?,0,1,deep,
FLAME,something <br><b>hot</b>?,1,1,deep,
FLOUR,used for <br><b>cooking</b>?,1,1,deep,
SINGER,a <br><b>body of water</b>?,0,1,deep,
BRAKE,a type of <br><b>container</b>?,0,1,deep,
KNIFE,a type of <br><b>weapon</b>?,1,1,deep,
DAISY,a type of <br><b>flower</b>?,1,1,deep,
ROBBER,a type of <br><b>furniture</b>?,0,1,deep,
COPPER,a type of <br><b>metal</b>?,1,1,deep,
GLOVE,something to <br><b>wear</b>?,1,1,deep,
HONEY,a type of <br><b>food</b>?,1,1,deep,
MONK,a type of <br><b>clergy</b>?,1,1,deep,
CLAW,a type of <br><b>beverage</b>?,0,1,deep,
MAST,a type of <br><b>fruit</b>?,0,1,deep,
FIDDLE,a type of <br><b>mineral</b>?,0,1,deep,
CHAPEL,a type of <br><b>nobility</b>?,0,1,deep,
ROACH,a mode of <br><b>travel</b>?,0,1,deep,
SHEEP,a type of <br><b>farm animal</b>?,1,1,deep,
DRILL,a type of <br><b>material</b>?,0,1,deep,
MINER,a type of <br><b>occupation</b>?,1,1,deep,
CART,a type of <br><b>vehicle</b>?,1,1,deep,
CLOVE,a <br><b>wild animal</b>?,0,1,deep,
SPEECH,a type of <br><b>communication</b>?,1,1,deep,
BRUSH,used for <br><b>cleaning</b>?,1,1,deep,
CHEEK,a part of the <br><b>body</b>?,1,1,deep,
FENCE,found in the <br><b>garden</b>?,1,1,deep,
SONNET,a type of <br><b>game</b>?,0,1,deep,
WITCH,a division of <br><b>time</b>?,0,1,deep,
MOAN,a type of <br><b>office supply</b>?,0,1,deep,
child,,,0,deep,
rock,,,0,deep,
tire,,,0,deep,
earl,,,0,deep,
tribe,,,0,deep,
pool,,,0,deep,
week,,,0,deep,
dance,,,0,deep,
field,,,0,deep,
boat,,,0,deep,
wool,,,0,deep,
glass,,,0,deep,
nurse,,,0,deep,
state,,,0,deep,
rice,,,0,deep,
soap,,,0,deep,
pond,,,0,deep,
bear,,,0,deep,
juice,,,0,deep,
lamp,,,0,deep,
CHILD,stopper,0,1,rhyme,
ROCK,stock,1,1,rhyme,
TIRE,leap,0,1,rhyme,
EARL,pearl,1,1,rhyme,
TRIBE,start,0,1,rhyme,
POOL,school,1,1,rhyme,
WEEK,peak,1,1,rhyme,
DANCE,shove,0,1,rhyme,
FIELD,trunk,0,1,rhyme,
BOAT,rote,1,1,rhyme,
PAIL,whale,1,1,rhyme,
LANE,each,0,1,rhyme,
GRAM,tram,1,1,rhyme,
WOOL,pull,1,1,rhyme,
FLOOR,crazy,0,1,rhyme,
GLASS,liner,0,1,rhyme,
CLIP,ship,1,1,rhyme,
NURSE,lush,0,1,rhyme,
LARK,teak,0,1,rhyme,
STATE,tense,0,1,rhyme,
RICE,wife,0,1,rhyme,
SOAP,claim,0,1,rhyme,
JUICE,loose,1,1,rhyme,
POND,wand,1,1,rhyme,
BEAR,hair,1,1,rhyme,
LAMP,camp,1,1,rhyme,
CHERRY,very,1,1,rhyme,
JADE,sour,0,1,rhyme,
SLEET,funny,0,1,rhyme,
TROUT,bout,1,1,rhyme,
monk,,,0,rhyme,
daisy,,,0,rhyme,
miner,,,0,rhyme,
cart,,,0,rhyme,
clover,,,0,rhyme,
mast,,,0,rhyme,
chapel,,,0,rhyme,
sonnet,,,0,rhyme,
witch,,,0,rhyme,
roach,,,0,rhyme,
twig,,,0,rhyme,
drill,,,0,rhyme,
moan,,,0,rhyme,
claw,,,0,rhyme,
speech,,,0,rhyme,
brush,,,0,rhyme,
cheek,,,0,rhyme,
flame,,,0,rhyme,
flour,,,0,rhyme,
glove,,,0,rhyme,
child,<b>Upper Case</b>?,0,1,shallow,
rock,<b>Upper Case</b>?,0,1,shallow,
TIRE,<b>Upper Case</b>?,1,1,shallow,
earl,<b>Lower Case</b>?,1,1,shallow,
TRIBE,<b>Lower Case</b>?,0,1,shallow,
POOL,<b>Lower Case</b>?,0,1,shallow,
week,<b>Upper Case</b>?,0,1,shallow,
DANCE,<b>Upper Case</b>?,1,1,shallow,
FIELD,<b>Upper Case</b>?,1,1,shallow,
BOAT,<b>Upper Case</b>?,1,1,shallow,
pail,<b>Upper Case</b>?,0,1,shallow,
lane,<b>Upper Case</b>?,0,1,shallow,
GRAM,<b>Lower Case</b>?,0,1,shallow,
WOOL,<b>Upper Case</b>?,1,1,shallow,
floor,<b>Lower Case</b>?,1,1,shallow,
GLASS,<b>Lower Case</b>?,0,1,shallow,
clip,<b>Lower Case</b>?,1,1,shallow,
nurse,<b>Lower Case</b>?,1,1,shallow,
LARK,<b>Upper Case</b>?,1,1,shallow,
state,<b>Upper Case</b>?,0,1,shallow,
RICE,<b>Lower Case</b>?,0,1,shallow,
SOAP,<b>Upper Case</b>?,1,1,shallow,
juice,<b>Upper Case</b>?,0,1,shallow,
POND,<b>Lower Case</b>?,0,1,shallow,
bear,<b>Lower Case</b>?,1,1,shallow,
lamp,<b>Upper Case</b>?,0,1,shallow,
CHERRY,<b>Upper Case</b>?,1,1,shallow,
jade,<b>Lower Case</b>?,1,1,shallow,
SLEET,<b>Lower Case</b>?,0,1,shallow,
trout,<b>Upper Case</b>?,0,1,shallow,
monk,,,0,shallow,
daisy,,,0,shallow,
miner,,,0,shallow,
cart,,,0,shallow,
clover,,,0,shallow,
mast,,,0,shallow,
chapel,,,0,shallow,
sonnet,,,0,shallow,
witch,,,0,shallow,
roach,,,0,shallow,
twig,,,0,shallow,
drill,,,0,shallow,
moan,,,0,shallow,
claw,,,0,shallow,
speech,,,0,shallow,
brush,,,0,shallow,
cheek,,,0,shallow,
flame,,,0,shallow,
flour,,,0,shallow,
glove,,,0,shallow,
,,,,,
