word,rhyme,encode,recall,
CHILD,stopper,0,1,
ROCK,stock,1,1,
TIRE,leap,0,1,
EARL,pearl,1,1,
TRIBE,start,0,1,
POOL,school,1,1,
WEEK,peak,1,1,
DANCE,shove,0,1,
FIELD,trunk,0,1,
BOAT,rote,1,1,
PAIL,whale,1,1,
LANE,each,0,1,
GRAM,tram,1,1,
WOOL,pull,1,1,
FLOOR,crazy,0,1,
GLASS,liner,0,1,
CLIP,ship,1,1,
NURSE,lush,0,1,
LARK,teak,0,1,
STATE,tense,0,1,
RICE,wife,0,1,
SOAP,claim,0,1,
JUICE,loose,1,1,
POND,wand,1,1,
BEAR,hair,1,1,
LAMP,camp,1,1,
CHERRY,very,1,1,
JADE,sour,0,1,
SLEET,funny,0,1,
TROUT,bout,1,1,
monk,,,0,
daisy,,,0,
miner,,,0,
cart,,,0,
clover,,,0,
mast,,,0,
chapel,,,0,
sonnet,,,0,
witch,,,0,
roach,,,0,
twig,,,0,
drill,,,0,
moan,,,0,
claw,,,0,
speech,,,0,
brush,,,0,
cheek,,,0,
flame,,,0,
flour,,,0,
glove,,,0,
,,,,
