word,rhyme,encode,recall,
child,<b>Upper Case</b>?,0,1,
rock,<b>Upper Case</b>?,0,1,
TIRE,<b>Upper Case</b>?,1,1,
earl,<b>Lower Case</b>?,1,1,
TRIBE,<b>Lower Case</b>?,0,1,
POOL,<b>Lower Case</b>?,0,1,
week,<b>Upper Case</b>?,0,1,
DANCE,<b>Upper Case</b>?,1,1,
FIELD,<b>Upper Case</b>?,1,1,
BOAT,<b>Upper Case</b>?,1,1,
pail,<b>Upper Case</b>?,0,1,
lane,<b>Upper Case</b>?,0,1,
GRAM,<b>Lower Case</b>?,0,1,
WOOL,<b>Upper Case</b>?,1,1,
floor,<b>Lower Case</b>?,1,1,
GLASS,<b>Lower Case</b>?,0,1,
clip,<b>Lower Case</b>?,1,1,
nurse,<b>Lower Case</b>?,1,1,
LARK,<b>Upper Case</b>?,1,1,
state,<b>Upper Case</b>?,0,1,
RICE,<b>Lower Case</b>?,0,1,
SOAP,<b>Upper Case</b>?,1,1,
juice,<b>Upper Case</b>?,0,1,
POND,<b>Lower Case</b>?,0,1,
bear,<b>Lower Case</b>?,1,1,
lamp,<b>Upper Case</b>?,0,1,
CHERRY,<b>Upper Case</b>?,1,1,
jade,<b>Lower Case</b>?,1,1,
SLEET,<b>Lower Case</b>?,0,1,
trout,<b>Upper Case</b>?,0,1,
monk,,,0,
daisy,,,0,
miner,,,0,
cart,,,0,
clover,,,0,
mast,,,0,
chapel,,,0,
sonnet,,,0,
witch,,,0,
roach,,,0,
twig,,,0,
drill,,,0,
moan,,,0,
claw,,,0,
speech,,,0,
brush,,,0,
cheek,,,0,
flame,,,0,
flour,,,0,
glove,,,0,
,,,,
