item,phasetype,survey,max_time,text,notes,shuffle_1,shuffle_2,task_title,task_body_text,weight,
0,offline,,user,,,off,off,STUDY TEMPORARILY OFFLINE,We're really sorry but the study isn't available at the moment. The program used to run this study has had an update which has broken the data storage within this study. We are very sorry that you cannot complete the study at this time.,0,
0,intro_static,,user,Welcome,no_mobile,off,off,,,,
0,tp_headphones,,user,,,off,off,,,,
0,tp_multimedia,,user,,,off,off,,,,
0,zoom_check,,user,,,off,off,,,,
0,tp_infoconsent,,user,Curse Words and the Clock: How Expletives Alter Our Sense of Time,,off,off,,,,
0,tp_demo,,user,50,,off,off,,,,
0,offline,,user,,,off,off,YOU CANNOT CONTINUE,"We're really sorry but the study is only recruiting native English speakers.<br><br>As you indicated that you are not a native English speaker we cannot allow you to continue.<br><br>To end the experiment, simply close your browser window.",,
0,task_bookend,,user,Start,,off,off,Time Perception,"<p>This study is investigation how people's perception of the passing of time changes within a situation.
<br><br>
Within the next task, you will initially see a cross in the centre of the screen to direct your gaze. The cross will be replaced by a written word while you hear another word read out. Once the spoken word has been read out, the word on the screen will be replaced by a straight line and you will hear a constant audio tone. This tone will last for either 1.5 seconds (a long period) or 0.5 seconds (a short period). The tone will only be one of these two options. When the tone ends, the initial pair of words you saw/heard will be repeated. After that repetition, you will be presented with two response buttons.
<br><br>
<b>All you have to do is state whether the audio tone you heard between the words lasted for a long (1.5 seconds) or short (0.5 seconds) period of time.</b>
<br><br>
You will first complete a number of training trials designed to teach you the difference between a long and short audio tone. These trials do not include swear words.
<br><br>
When you are ready to start, please press 'Start' below.</p>",,
530 to 569,tp_training,,user,,,Training,off,,,,
0,task_bookend,,user,Start,,off,off,End of training trials,"<p>You are about to start the main experimental trials. These include swear words.
<br><br>
<b>These trials work in the same way as the training trials you have just completed. However...
<br><br>
(1) The length of the audio tone between the words now differs<br> 
(2) Some trials do not have a spoken or written word
<br><br>
Once again, you just have to listen how long the tone lasts. But, you then need to decide if it was closer to the 'long' or 'short' trials from the training phase. If you think it was closer to the 0.5 second 'short' tone, click the 'Short' button or if you think it was closer to the 1.5 seconds 'long' tone, click the 'Long' button.</b>
<br><br>
As a reminder: you initially see a cross in the centre of the screen (which you should focus on). The cross may be replaced by a written word and you may hear another word read out. After this, a horizontal line will appear and a single audio tone will play. When the tone ends, any initial written or spoken words will be repeated. You will then be given the two response buttons (short and long).
<br><br>
The task is broken up into several blocks and you will be given a break between blocks. When you are ready to start the experimental trials, please click 'Start' below.
</p>",,
2 to 133,tp_maintask,,user,,,Experiment,Block 1,,,,
0,task_bookend,,user,Continue,,off,off,Time For A Break,"<p>Thank you for completing the first block, you may now have a break if you wish. When you are ready to start the next block please press <b>Continue</b> below.</p>",,
134 to 265,tp_maintask,,user,,,Experiment,Block 2,,,,
0,task_bookend,,user,Continue,,off,off,Time For A Break,"<p>Thank you for completing the second block, you may now have a break if you wish. When you are ready to start the next block please press <b>Continue</b> below.</p>",,
266 to 397,tp_maintask,,user,,,Experiment,Block 3,,,,
0,task_bookend,,user,Continue,,off,off,Time For A Break,"<p>Thank you for completing the third block, you may now have a break if you wish. When you are ready to start the final block please press <b>Continue</b> below.</p>",,
398 to 529,tp_maintask,,user,,,Experiment,Block 4,,,,
0,task_bookend,,user,Next,,off,off,End of Experimental Trials,"<p>Thank you for completing the fourth block, you have now completed all blocks within this task. When you are ready, please press <b>Next</b> to move to the next task in the study.</p>",,
570 to 625,tp_valence,,user,,,Valence,off,,,,
0,task_bookend,,user,Continue,,off,off,End of Valence Ratings,"<p>Thank you for completing the valence ratings. When you are ready, please press <b>Next</b> to move to the next task in the study.</p>",,
570 to 625,tp_arousal,,user,,,Arousal,off,,,,
0,task_bookend,,user,Continue,,off,off,End of Arousal Ratings,"<p>Thank you for completing the arousal ratings. When you are ready, please press <b>Next</b> to move to the next task in the study.</p>",,
570 to 625,tp_category,,user,,,Category,off,,,,
0,tp_dataquality,,user,,,off,off,Audio Level Check,Thank you for making the previous ratings. We now just need to record the audio level you used during the study so that we can control for any effect of different audio levels between participants from affecting our results. To run this check simply click the button below.,,
0,upload_data,,12,,Uploading REDCap Markers,off,off,,,,
0,tp_debrief,,user,Curse Words and the Clock: How Expletives Alter Our Sense of Time,,off,off,,,,
0,sona,,user,https://rdg-psychology.sona-systems.com/webstudy_credit.aspx?experiment_id=3200&credit_token=0fdd52e9a17d4495b09c11b1a512f873&survey_code=,,off,off,Save Data & Gain Credit,"Thank you for completing the study, we really do appreciate you taking the time to do so. Before you close the study, there are two things left to do:<br><br><b>(1) Save your data</b><br>If we could ask you to download your data by clicking the button below and saving it to your computer. This will ensure that, as this study was run online, if there were any issues with your data uploading to the server we can use the saved file to manually add your data to the final dataset, ensuring your time wasn't  wasted and/or the results of our study impacted (and you get to see what a raw data file actually looks like!). If you haven't heard from us within one month, feel free to delete the file from your computer as it will mean everything uploaded correctly.<br/><br><button class=""btn btn-primary"" id=""Save"">💾 Please Save Your Data 💾 </button><br/><br><span style=""opacity: 0.75;font-size: 15px;font-style: italic;"">Note: If the button doesn't work for any reason, you can save your data by pressing Ctrl+S (Cmd+S on a Mac)</span>. <br/><br/><b>(2) Gain SONA Credit</b><br>If you received a pop-up message above about your SONA ID not being stored correctly, or there is no button below, please email <a href=""mailto:c.g.dobson@pgr.reading.ac.uk"">c.g.dobson@pgr.reading.ac.uk</a> to let Chris know you've completed the study and he will award you your credit manually. Otherwise, simply click the button below to return to SONA and automatically receive your credit.",,
