audio,visual,voice,delay,audio_time,audio_type,audio_valence,audio_arousal,written_type,written_valence,written_arousal,
Damn,Gun,f,1000,484,Swear,Negative,Low,Neutral,Negative,High,
Control,Hurricane,na,1200,600,N/A,N/A,N/A,Neutral,N/A,N/A,
Control,Moron,na,1000,600,N/A,N/A,N/A,Swear,Negative,Low,
Torture,Cock,m,1000,400,Neutral,Negative,High,Swear,Negative,High,
Control,Screw,na,600,600,N/A,N/A,N/A,Swear,Positive,Low,
Idiot,Erotic,m,1600,451,Swear,Negative,Low,Neutral,Positive,High,
Screw,Massacre,m,600,686,Swear,Positive,Low,Neutral,Negative,High,
Boobs,Jism,m,1600,574,Swear,Positive,High,Swear,Positive,Low,
Intercourse,Grateful,f,400,645,Neutral,Positive,High,Neutral,Positive,Low,
Friendly,Morbid,m,1600,529,Neutral,Positive,Low,Neutral,Negative,Low,
Idiot,Failure,f,1000,477,Swear,Negative,Low,Neutral,Negative,Low,
Control,Cock,na,600,600,N/A,N/A,N/A,Swear,Negative,High,
Cock,Control,m,800,434,Swear,Negative,High,N/A,N/A,N/A,
Pee,Cock,m,800,682,Swear,Positive,Low,Swear,Negative,High,
Buttfuck,Control,f,1600,601,Swear,Negative,High,N/A,N/A,N/A,
Cum,Torture,m,400,532,Swear,Positive,High,Neutral,Negative,High,
Wise,Bitch,m,1200,654,Neutral,Positive,Low,Swear,Negative,High,
Torture,Slut,m,1200,400,Neutral,Negative,High,Swear,Negative,High,
Hopeful,Murderer,m,400,718,Neutral,Positive,Low,Neutral,Negative,High,
Boner,Erotic,f,1400,429,Swear,Positive,High,Neutral,Positive,High,
Intercourse,Crap,f,600,645,Neutral,Positive,High,Swear,Negative,Low,
Crap,Cum,f,1000,360,Swear,Negative,Low,Swear,Positive,High,
Control,Shit,na,1600,600,N/A,N/A,N/A,Swear,N/A,N/A,
Lonely,Control,m,1200,489,Neutral,Negative,Low,N/A,N/A,N/A,
Cock,Loved,m,1200,434,Swear,Negative,High,Neutral,Positive,High,
Cock,Hopeful,f,1000,400,Swear,Negative,High,Neutral,Positive,Low,
Sinful,Cocksucker,f,1000,584,Neutral,N/A,N/A,Swear,N/A,N/A,
Control,Torture,na,600,600,N/A,N/A,N/A,Neutral,Negative,High,
Heaven,Lonely,m,1200,480,Neutral,Positive,High,Neutral,Negative,Low,
Moron,Torture,m,600,600,Swear,Negative,Low,Neutral,Negative,High,
Jism,Idiot,m,600,500,Swear,Positive,Low,Swear,Negative,Low,
Failure,Crap,m,800,620,Neutral,Negative,Low,Swear,Negative,Low,
Boobs,Control,m,600,574,Swear,Positive,High,N/A,N/A,N/A,
Gun,Erotic,f,600,420,Neutral,Negative,High,Neutral,Positive,High,
Paradise,Idiot,m,400,661,Neutral,Positive,High,Swear,Negative,Low,
Screw,Bitch,m,1400,686,Swear,Positive,Low,Swear,Negative,High,
Control,Fuck,na,1600,600,N/A,N/A,N/A,Swear,Negative,High,
Loved,Wise,m,400,528,Neutral,Positive,High,Neutral,Positive,Low,
Failure,Damn,m,400,620,Neutral,Negative,Low,Swear,Negative,Low,
Wise,Morbid,f,1000,706,Neutral,Positive,Low,Neutral,Negative,Low,
Hell,Control,m,600,419,Swear,Negative,Low,N/A,N/A,N/A,
Hopeful,Pee,m,1000,718,Neutral,Positive,Low,Swear,Positive,Low,
Riot,Wise,m,600,586,Neutral,Negative,High,Neutral,Positive,Low,
Boner,Grateful,f,400,429,Swear,Positive,High,Neutral,Positive,Low,
Torture,Hopeful,m,1400,400,Neutral,Negative,High,Neutral,Positive,Low,
Gun,Jism,m,800,420,Neutral,Negative,High,Swear,Positive,Low,
Heaven,Snatch,m,800,480,Neutral,Positive,High,Swear,Positive,Low,
Cum,Control,f,600,423,Swear,Positive,High,N/A,N/A,N/A,
Moron,Gun,m,1200,600,Swear,Negative,Low,Neutral,Negative,High,
Idiot,Grateful,m,1200,451,Swear,Negative,Low,Neutral,Positive,Low,
