item_name,text,type,answers,optional,values,side_by_side,
Instructions,"<p>Before you start the main trials you are required to repeat the word <b>fuck</b> out loud for 20 seconds, using your normal speaking volume, speed, and rhythm, as if having a standard conversation. A countdown timer will start (and appear on screen) when you click the button below. You should start repeating the word <b>fuck</b> as soon as you click to start the timer and continue repeating the word until the timer reaches 0. The task will automatically end when the timer reaches 0.</p><br><p>When you are ready to start, please click the button below.</p>",instruct,,,,,
Age,"1. Please enter your age (in years)<br><span class=""minor""><em>(the input only accepts numbers e.g., 21)</em></span>",number,,Yes,,,
Sex,2. What is your biological sex?,radio_vertical,Male|Female|Prefer not to say,No,1|2|0,,
Gender,3. Does your gender identity match your biological sex?,radio_vertical,Yes|No|Prefer not to say,No,1|2|0,,
Ethnicity,4. I identify my ethnicity as:,radio,White|Mixed/Multiple|Asian|Black/African/Caribbean|Chinese|Arab|Other|Prefer not to say,No,1|2|3|4|5|6|7|0,,
Education,5. What is the highest level of education you have completed?,radio,"GCSEs or equivalent|A-Levels or equivalent|Undergraduate (e.g., BSc)|Postgraduate (e.g., MSc)|Doctoral degree|Other|Prefer not to say",No,1|2|3|4|5|6|0,,
Employment,6. What is your current employment status?,radio,Full-time employment|Part-time employment|Unemployed/Retired/Full-time education|Prefer not to say,No,1|2|3|0,,
HorizontalRule,<hr>,instruct,,,,,
demo,,redcap_pii,,,,,
,,,,,,,
