item_name,text,type,answers,values,optional,btn_width,shuffle_question,side_text,
Instructions,"<h2><span>Self-Evaluation Questionnaire</span></h2><br>
<span class=""instruc"">Please take a moment to think how you feel <span style=""text-decoration: underline;"">after</span> repeating the word <span id=""word""></span>.<br><br>To respond, please rate each statement below by clicking on a number from 1 to 7, whereby <b>1 = you strongly disagree</b> with the statement, while <b>7 = you strongly agree</b> with the statement. There are no right or wrong answers. Do not spend too much time on any one statement.</span><br/><br/><br>
",instruct,,,,,,,
CD1,<b>I was in despair</b>,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,no,75px,on,strongly disagree| strongly agree,
CD2,<b>I resented it</b>,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,no,75px,on,strongly disagree| strongly agree,
CD3,<b>I felt disappointed with myself</b>,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,no,75px,on,strongly disagree| strongly agree,
CD4,<b>I felt scared</b>,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,no,75px,on,strongly disagree| strongly agree,
CD5,<b>I felt hollow</b>,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,no,75px,on,strongly disagree| strongly agree,
CD6,<b>I felt angry</b>,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,no,75px,on,strongly disagree| strongly agree,
CD7,<b>I felt uneasy</b>,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,no,75px,on,strongly disagree| strongly agree,
CD8,<b>I felt I'd let myself down</b>,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,no,75px,on,strongly disagree| strongly agree,
CD9,<b>I felt annoyed</b>,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,no,75px,on,strongly disagree| strongly agree,
CD10,<b>I felt frustrated</b>,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,no,75px,on,strongly disagree| strongly agree,
CD11,<b>I was in pain</b>,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,no,75px,on,strongly disagree| strongly agree,
CD12,<b>I felt depressed</b>,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,no,75px,on,strongly disagree| strongly agree,
CD13,<b>I felt furious with myself</b>,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,no,75px,on,strongly disagree| strongly agree,
CD14,<b>I felt sick</b>,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,no,75px,on,strongly disagree| strongly agree,
CD15,<b>I was in agony</b>,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,no,75px,on,strongly disagree| strongly agree,
CDattention,"<b>For this question, <u>please select 4</u></b>",likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,yes,75px,on,strongly disagree| strongly agree,
,,,,,,,,,
