item_name,text,type,answers,optional,values,branch,block,
Instructions,"<h2><span>Demographics</span></h2>
<span id=""instruc"">Please could you help us better understand the diversity and inclusivity of our participants (and thus how well our data is applicable to the general population) by completing the questions below. <br><br>All questions are optional, you do not have to answer if you'd prefer not to (just select ""Prefer not to say"", if that is the case or leave your age blank). It really does help us if you answer these questions, however, as it allows us to understand how different demographic details change how people view swear words, but please don't feel under pressure to answer if you would prefer not to.</span><br/><br/>",instruct,,,,,,
Age,"1. Please enter your age (in years)<br><span class=""minor""><em>(the input only accepts numbers e.g., 21)</em></span>",number,,Yes,,,,
Sex,2. I identify as a:,radio,Man|Woman|Non-Binary|Trans|In a way not listed|Prefer not to say,No,1|2|3|4|5|0,,,
Ethnicity,3. I identify my ethnicity as:,radio,White|Mixed/Multiple|Asian|Black/African/Caribbean|Chinese|Arab|Other|Prefer not to say,No,1|2|3|4|5|6|7|0,,,
Education,4. What is the highest level of education you have completed?,radio,"GCSEs or equivalent|A-Levels or equivalent|Undergraduate (e.g., BSc)|Postgraduate (e.g., MSc)|Doctoral degree|Other|Prefer not to say",No,1|2|3|4|5|6|0,,,
Employment,5. What is your current employment status?,radio,Full-time employment|Part-time employment|Unemployed/Retired/Full-time education|Prefer not to say,No,1|2|3|0,,,
NativeSpeaker,"6. Are you a native British English Speaker<br><span class=""minor""><em>(defined as being born and raised in the UK, or moved to the UK before the age of 2)</em></span>",radio,Yes|No|Prefer not to say,No,1|2|0,,,
CurrentBase,7. Are you currently based in the UK,radio,Yes|No|Prefer not to say,No,1|2|0,|Outside|,,
CurrentRegion,7a. Which region are you located in?,radio,"North America|Europe (excluding UK)|Oceania (e.g., Australia, New Zealand)|Asia|Africa|South America|Prefer not to say",No,1|2|3|4|5|6|0,,Outside,
CountryLanguage,"7b. In your current country of residence, is English an official language?",radio,Yes|No|Not Sure|Prefer not to say,No,1|2|3|0,,Outside,
PCLS,8. Are you a student or staff member in the University of Reading's School of Psychology & Clinical Language Sciences?,radio,Yes|No|Prefer not to say,No,1|2|0,,,
HorizontalRule,<hr>,instruct,,,,,,
demo,,redcap_pii,,,,,,
,,,,,,,,
