item_name,text,type,answers,optional,values,side_by_side,btn_width,score:stai,shuffle_question,
Instructions,"<h2><span>Self-Reflection Questionnaire</span></h2><br><br><h6><b>INSTRUCTIONS: </b></h6>Read each statement below and select the appropriate response to indicate how you feel right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best.<br/><br/>",instruct,,,,,,,,
stai_1,I feel calm,likert,Not At All|A Little|Somewhat|Very Much So,No,1|2|3|4,yes,150px,r1,,
stai_2,I feel secure,likert,Not At All|A Little|Somewhat|Very Much So,No,1|2|3|4,yes,150px,r1,,
stai_3,I feel tense,likert,Not At All|A Little|Somewhat|Very Much So,No,1|2|3|4,yes,150px,1,,
stai_4,I feel strained,likert,Not At All|A Little|Somewhat|Very Much So,No,1|2|3|4,yes,150px,1,,
stai_5,I feel at ease,likert,Not At All|A Little|Somewhat|Very Much So,No,1|2|3|4,yes,150px,r1,,
stai_6,I feel upset,likert,Not At All|A Little|Somewhat|Very Much So,No,1|2|3|4,yes,150px,1,,
stai_7,I am presenting worrying<br>over possible misfortunes,likert,Not At All|A Little|Somewhat|Very Much So,No,1|2|3|4,yes,150px,1,,
stai_8,I feel satisfied,likert,Not At All|A Little|Somewhat|Very Much So,No,1|2|3|4,yes,150px,r1,,
stai_9,I feel frightened,likert,Not At All|A Little|Somewhat|Very Much So,No,1|2|3|4,yes,150px,1,,
stai_10,I feel uncomfortable,likert,Not At All|A Little|Somewhat|Very Much So,No,1|2|3|4,yes,150px,r1,,
stai_11,I feel self confident,likert,Not At All|A Little|Somewhat|Very Much So,No,1|2|3|4,yes,150px,r1,,
stai_12,I feel nervous,likert,Not At All|A Little|Somewhat|Very Much So,No,1|2|3|4,yes,150px,1,,
stai_13,I feel jittery,likert,Not At All|A Little|Somewhat|Very Much So,No,1|2|3|4,yes,150px,1,,
stai_14,I feel indecisive,likert,Not At All|A Little|Somewhat|Very Much So,No,1|2|3|4,yes,150px,1,,
stai_15,I am relaxed,likert,Not At All|A Little|Somewhat|Very Much So,No,1|2|3|4,yes,150px,r1,,
stai_16,I feel content,likert,Not At All|A Little|Somewhat|Very Much So,No,1|2|3|4,yes,150px,r1,,
stai_17,I am worried,likert,Not At All|A Little|Somewhat|Very Much So,No,1|2|3|4,yes,150px,1,,
stai_18,I feel confused,likert,Not At All|A Little|Somewhat|Very Much So,No,1|2|3|4,yes,150px,1,,
stai_19,I feel steady,likert,Not At All|A Little|Somewhat|Very Much So,No,1|2|3|4,yes,150px,r1,,
stai_20,I feel pleasant,likert,Not At All|A Little|Somewhat|Very Much So,No,1|2|3|4,yes,150px,r1,,
,,,,,,,,,,
