item_name,text,type,answers,optional,values,side_by_side,btn_width,score:ver_agg,
Instructions,<h2><span>Verbal Aggressiveness Scale</span></h2><br><br><h6><b>INSTRUCTIONS: </b> This questionnaire is concerned with how we try to get people to comply with our wishes. Please select from the options beneath each statement to indicate how often each statement is true for you personally when you try to influence other persons</h6><br/><br/>,instruct,,,,,,,
ver_agg_1,"1. When individuals are very stubborn, I use insults to soften their stubbornness.",likert,Almost Never True|Rarely True|Occasionally True|Often True|Almost Always True," No",1|2|3|4|5,no,175px,1,
ver_agg_2,"2. When people refuse to do a task I know is important, without good reason, I tell them they are unreasonable.",likert,Almost Never True|Rarely True|Occasionally True|Often True|Almost Always True,No,1|2|3|4|5,no,175px,1,
ver_agg_3,"3. If individuals I am trying to influence really deserve it, I attack their character.",likert,Almost Never True|Rarely True|Occasionally True|Often True|Almost Always True,No,1|2|3|4|5,no,175px,1,
ver_agg_4,"4. When people behave in ways that are in very poor taste, I insult them in order to shock them into proper behavior.",likert,Almost Never True|Rarely True|Occasionally True|Often True|Almost Always True,No,1|2|3|4|5,no,175px,1,
ver_agg_5,5. When people simply will not budge on a matter of importance I lose my temper and say rather strong things to them.,likert,Almost Never True|Rarely True|Occasionally True|Often True|Almost Always True,No,1|2|3|4|5,no,175px,1,
ver_agg_6,"6. When individuals insult me, I get a lot of pleasure out of really telling them off.",likert,Almost Never True|Rarely True|Occasionally True|Often True|Almost Always True,No,1|2|3|4|5,no,175px,1,
ver_agg_7,7. I like poking fun at people who do things which are very stupid in order to stimulate their intelligence.,likert,Almost Never True|Rarely True|Occasionally True|Often True|Almost Always True,No,1|2|3|4|5,no,175px,1,
ver_agg_8,"8. When people do things which are mean or cruel, I attack their character in order to help correct their behaviour.",likert,Almost Never True|Rarely True|Occasionally True|Often True|Almost Always True,No,1|2|3|4|5,no,175px,1,
ver_agg_9,"9. When nothing seems to work in trying to influence others, I yell and scream in order to get some movement from them.",likert,Almost Never True|Rarely True|Occasionally True|Often True|Almost Always True,No,1|2|3|4|5,no,175px,1,
ver_agg_10,"10. When I am not able to refute others’ positions, I try to make them feel defensive in order to weaken their positions.",likert,Almost Never True|Rarely True|Occasionally True|Often True|Almost Always True,No,1|2|3|4|5,no,175px,1,
,,,,,,,,,
